,property_title,seller_id,seller_type,open_viewing,no_of_photos,available_from,available_for,area,furnished,bathrooms,beds,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
0,"1 BED, Tallaght Cross West, Tallaght, Dublin 24",9871.0,1.0,0.0,3.0,2017-10-01,12.0,64.0,0.0,1.0,1.0,1080.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
1,"1 Palace Street, Dublin 2, Dublin 2",7549.0,1.0,0.0,6.0,2017-09-15,12.0,53.0,1.0,1.0,2.0,2000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2,"10 Clarinda House, Clarinda Park West, Dun Laoghai, Dun Laoghaire, Co. Dublin",0.0,0.0,0.0,8.0,2017-09-18,6.0,9.0,1.0,1.0,2.0,1485.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
3,"109 Geraldstown Wood, Santry, Dublin 9",11.0,1.0,1.0,6.0,2017-09-13,12.0,55.0,1.0,1.0,1.0,1300.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
4,"11 saunders house, spencer dock, Dublin 1, Dublin 1",0.0,0.0,0.0,10.0,2017-09-16,0.0,25.0,1.0,2.0,2.0,2600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"110 Old Distillery, Anne Street North, Dublin 1, Dublin 1",181.0,1.0,0.0,11.0,2017-09-17,12.0,25.0,1.0,1.0,2.0,1872.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
6,"116 Grace Park Manor, Drumcondra, Dublin 9",0.0,0.0,0.0,1.0,2017-09-23,12.0,91.0,0.0,3.0,2.0,2000.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
8,"12 Parkhouse, Benson Street, Grand Canal Dock, Dublin 2",7146.0,1.0,0.0,17.0,2017-09-19,12.0,52.0,1.0,2.0,2.0,2650.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
9,"12 Ramleh Hall, Convent Avenue, Mount Saint Annes, Milltown, Dublin 6",3050.0,1.0,0.0,2.0,2017-10-09,12.0,48.0,0.0,2.0,3.0,2750.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
10,"122 The Kilns, Portmarnock, Co. Dublin",0.0,0.0,0.0,7.0,2017-10-21,12.0,2.0,1.0,1.0,1.0,1250.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
11,"13 Auburn House, Rathmines Park, Rathmines, Dublin 6",262.0,1.0,0.0,9.0,2017-10-01,12.0,38.0,1.0,1.0,3.0,2500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
12,"13 Turvey Park, Donabate, Co. Dublin",0.0,0.0,0.0,1.0,2017-09-23,12.0,62.0,1.0,1.0,2.0,1300.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
13,"139 Grand Central, Sandyford, Dublin 18",9871.0,1.0,0.0,6.0,2017-12-05,12.0,114.0,1.0,1.0,1.0,1255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,"14 Applewood Drive, Swords, Co. Dublin",0.0,0.0,0.0,17.0,1970-01-01,12.0,37.0,1.0,3.0,4.0,1800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,"15 dun emer rise lusk, Lusk, Co. Dublin",0.0,0.0,0.0,11.0,2017-09-28,6.0,14.0,3.0,1.0,2.0,1600.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
16,"16 college view, Ballymun, Dublin 9",0.0,0.0,0.0,8.0,2017-09-11,12.0,28.0,1.0,2.0,2.0,1600.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
17,"17 Kearns Court, Kilmainham, Dublin 8",0.0,0.0,0.0,8.0,2017-10-01,12.0,27.0,1.0,2.0,1.0,1800.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
