property_id,property_category,property_title,property_type,seller_name,seller_id,seller_type,open_viewing,no_of_photos,available_from,lease_units,available_for,area,county,latitude,longitude,furnished,bathrooms,beds,facility,environment,published_date,page_name,platform,currency,price_frequency,price,Parking,Cable Television,Dryer,Garden / Patio / Balcony,Washing Machine,Serviced Property,Pets Allowed,Wheelchair Access,Central Heating,Microwave,Smoking,Dishwasher,House Alarm,Internet
1771361,rental,"Cloonlara Square, Ashtown, Dublin 7",apartment,,,private,no,27,2017-09-10,months,0,Ashtown,Dublin,53.373276188675,-6.3371686042298,yes,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dishwasher,Microwave,Garden / Patio / Balcony",prod,2017-09-10,PropertyDetails,desktop,€,weekly,2000,True,True,,True,True,,,,True,True,,True,,
1767171,rental,"Lansdowne Wood, Lansdowne Road, Ballsbridge, Dublin 4",apartment,Lansdowne Property,240,agent,no,39,2017-08-25,months,12,Ballsbridge,Dublin,53.3334485941,-6.229612827301,either,3,3,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-10,PropertyDetails,desktop,€,monthly,5000,True,True,True,True,True,,,,True,True,,True,True,True
1770917,rental,"River Park, Conyngham Road, Dublin 8, Dublin 8",apartment,,,private,no,7,2017-09-11,months,12,Dublin 8,Dublin,53.3480922,-6.302529,yes,1,1,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Internet",prod,2017-09-10,PropertyDetails,desktop,€,monthly,1575,True,True,True,,True,,,,True,True,,,,True
1771948,rental,"Temple Hill, Terenure Road West, Terenure, Dublin 6w",apartment,,,private,no,7,2017-09-13,months,12,Terenure,Dublin,53.3112335,-6.2911449,yes,2,2,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave",prod,2017-09-10,PropertyDetails,desktop,€,monthly,1950,True,True,True,,True,,,,True,True,,True,True,
1770493,rental,"rosebank view, Clondalkin, Dublin 22",apartment,,,private,no,10,2017-09-09,months,3,Clondalkin,Dublin,53.3282075103,-6.3952338695526,yes,1,1,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dishwasher,Microwave,Internet",prod,2017-09-10,PropertyDetails,desktop,€,monthly,1200,True,True,,,True,,,,True,True,,True,True,True
1762956,rental,"Wavendon, 69 Northumberland Road, Ballsbridge, Ballsbridge, Dublin 4",apartment,MD Property Management,6534,agent,no,23,2017-09-08,months,12,Ballsbridge,Dublin,53.333176837,-6.236484862,either,2,2,"Parking,Central Heating,Washing Machine,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-10,PropertyDetails,desktop,€,monthly,3500,True,,,True,True,,,,True,True,,True,,True
1762953,rental,"New Bancroft, Greenhills Road, Tallaght, Dublin 24",apartment,MD Property Management,6534,agent,no,13,2017-09-29,months,12,Tallaght,Dublin,53.287775,-6.357701,yes,2,2,"Central Heating,Washing Machine,Dryer,Dishwasher,Microwave,Garden / Patio / Balcony",prod,2017-09-10,PropertyDetails,desktop,€,monthly,1600,,,True,True,True,,,,True,True,,True,,
1771526,rental,"608 Cube 2, Beacon South Quarter, Sandyford, Dublin 18",apartment,IRES,9871,agent,no,18,2017-10-04,months,12,Sandyford,Dublin,53.276724841292,-6.215844511953,yes,2,3,"Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-10,PropertyDetails,desktop,€,monthly,3166,,True,True,True,True,,,,True,True,,True,,True
1769302,rental,"Sweep Stakes, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4",apartment,accommodations2go,10754,agent,no,8,2017-09-07,months,12,Ballsbridge,Dublin,53.3308875,-6.2295821,yes,1,1,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Internet,Serviced Property",prod,2017-09-10,PropertyDetails,desktop,€,monthly,1700,True,True,True,,True,True,,,True,True,,,,True
1769396,rental,"Rathmines Road Upper, Rathmines, Dublin 6",apartment,,,private,no,6,2017-09-12,months,0,Rathmines,Dublin,53.320719075841,-6.265264749527,yes,1,1,"Central Heating,Washing Machine,Dryer,Microwave",prod,2017-09-10,PropertyDetails,desktop,€,monthly,1500,,,True,,True,,,,True,True,,,,
1771878,rental,"O\'Callaghan Court, Grand Canal Dock, Dublin 2",apartment,Sherborough Enterprises,10732,agent,no,11,2017-09-10,months,12,Grand Canal Dock,Dublin,53.341860212387,-6.2451454997063,yes,2,2,"Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave",prod,2017-09-10,PropertyDetails,desktop,€,monthly,2700,,True,True,,True,,,,True,True,,True,,
1771875,rental,"Cathedral Court, Dublin 2, Dublin 2",apartment,Sherborough Enterprises,10732,agent,no,21,2017-09-10,months,12,Dublin 2,Dublin,53.337390515558,-6.2729600071907,yes,2,2,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Wheelchair Access,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-10,PropertyDetails,desktop,€,monthly,2500,True,True,True,True,True,True,,True,True,True,,True,True,True
1753267,rental,"Penthouse, Custom House Square, Docklands, Dublin 1, Dublin 1",apartment,,,private,no,16,2017-09-20,months,12,Dublin 1,Dublin,53.349296476825,-6.2434664647693,yes,2,3,,prod,2017-09-10,PropertyDetails,desktop,€,monthly,4000,,,,,,,,,,,,,,
1769084,rental,"Mountbrook, Donnybrook, Dublin 4",apartment,,,private,no,12,2017-09-04,months,12,Donnybrook,Dublin,53.3053158,-6.2087134,yes,1,2,"Parking,Washing Machine,Dryer",prod,2017-09-09,PropertyDetails,desktop,€,monthly,1950,True,,True,,True,,,,,,,,,
1771080,rental,"Harcourt Green, Charlemont Street, Dublin 2, Dublin 2",apartment,,,private,no,8,2017-09-07,months,12,Dublin 2,Dublin,53.3314092,-6.2583552,either,2,2,"Parking,Central Heating,Cable Television,Washing Machine,Dryer,Microwave,Internet,Garden / Patio / Balcony,Serviced Property",prod,2017-09-09,PropertyDetails,desktop,€,monthly,2300,True,True,True,True,True,True,,,True,True,,,,True
1768899,rental,"Wolfe Tone Street, Dublin 1, Dublin 1",apartment,Finchley Estates,8372,agent,no,7,2017-08-31,months,12,Dublin 1,Dublin,53.348191934745,-6.2664105892509,yes,3,3,"Parking,Central Heating,House Alarm,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-09,PropertyDetails,desktop,€,monthly,3900,True,True,True,True,True,,,,True,True,,True,True,True
1764555,rental,"Apt. 19/20 Sandycove Rd, Sandycove, Co. Dublin",apartment,,,private,no,3,2017-09-02,months,0,Sandycove,Dublin,53.286271762743,-6.1173457105178,yes,1,2,"Parking,Central Heating,Washing Machine,Dryer,Microwave,Internet",prod,2017-09-09,PropertyDetails,desktop,€,weekly,2152,True,,True,,True,,,,True,True,,,,True
1766892,rental,"Sandycove Rd, Sandycove, Co. Dublin., Sandycove, Co. Dublin",apartment,,,private,no,5,2017-08-26,months,3,Sandycove,Dublin,53.286178688522,-6.1175072193146,either,1,2,"Parking,Central Heating,Washing Machine,Microwave",prod,2017-09-09,PropertyDetails,desktop,€,weekly,3021,True,,,,True,,,,True,True,,,,
1764256,rental,"Sandycove Road, South, Sandycove, Co. Dublin",apartment,,,private,no,12,2017-08-15,months,3,Sandycove,Dublin,53.284685959576,-6.1174532024933,yes,2,2,"Parking,Central Heating,Washing Machine,Microwave,Internet,Garden / Patio / Balcony",prod,2017-09-09,PropertyDetails,desktop,€,weekly,3021,True,,,True,True,,,,True,True,,,,True
1766494,rental,"Kevin Street, Dublin 4, Dublin 4",apartment,McMahon O'Connor Residential Ltd,8191,agent,no,18,2017-09-11,months,12,Dublin 4,Dublin,53.338612161784,-6.2705433368683,either,1,2,"Central Heating,Cable Television,Washing Machine,Microwave,Internet",prod,2017-09-09,PropertyDetails,desktop,€,monthly,2500,,True,,,True,,,,True,True,,,,True
1771671,rental,"Francis Street, Dublin 8, Dublin 8",apartment,McMahon O'Connor Residential Ltd,8191,agent,no,34,2017-09-11,months,12,Dublin 8,Dublin,53.339597948739,-6.2735031545162,yes,1,2,"Central Heating,Cable Television,Washing Machine,Dryer,Dishwasher,Microwave,Internet",prod,2017-09-09,PropertyDetails,desktop,€,monthly,3250,,True,True,,True,,,,True,True,,True,,True
1769522,rental,"34 Tallow Hall, Belgard Square, Tallaght, Tallaght, Dublin 24",apartment,,,private,no,10,2017-09-01,months,12,Tallaght,Dublin,53.281503866691,-6.365951006979,yes,2,2,"Parking,Wheelchair Access",prod,2017-09-09,PropertyDetails,desktop,€,monthly,1700,True,,,,,,,True,,,,,,
